Halaman,Judul,Tautan,Penulis,Tahun,Sitasi,Institusi
5006,Corporate Criminal Liability on Environmental Law: Indonesia and Australia,https://scholar.google.com/scholar?q=+intitle:'Corporate Criminal Liability on Environmental Law: Indonesia and Australia',"MA Wijaya, AI Dzaki
Mulawarman Law Review, 16-28, 2023",2023,1,"Mulawarman Law Review, 16-28, 2023"
5006,SISTEM PENDUDKUNG KEPUTUSAN PEMILIHAN LOKASI TEMPAT PEMBUANGAN AKHIR SAMPAH DENGAN METODE ANP (STUDI KASUS: DINAS TATA KOTA KABUPATEN ASAHAN),https://scholar.google.com/scholar?q=+intitle:'SISTEM PENDUDKUNG KEPUTUSAN PEMILIHAN LOKASI TEMPAT PEMBUANGAN AKHIR SAMPAH DENGAN METODE ANP (STUDI KASUS: DINAS TATA KOTA KABUPATEN ASAHAN)',"A Afrisawati
Seminar Nasional Royal (SENAR) 1 (1), 121-124, 2018",2018,0,"Seminar Nasional Royal (SENAR) 1 (1), 121-124, 2018"
5006,"Suplementasi Zink pada Ibu Hamil dalam Pencegahan Stunting: Analisis Kadar Serum Zink, Osteokalsin dan Panjang Bayi Baru Lahir","https://scholar.google.com/scholar?q=+intitle:'Suplementasi Zink pada Ibu Hamil dalam Pencegahan Stunting: Analisis Kadar Serum Zink, Osteokalsin dan Panjang Bayi Baru Lahir'","L Rohmawati
Universitas Sumatera Utara, 2021",2021,1,"Universitas Sumatera Utara, 2021"
5006,HUBUNGAN ANTARA KEKUATAN OTOT TUNGKAI DAN KESEIMBANGAN TERHADAP JAUHNYA TENDANGAN PADA PERMAINAN SEPAK BOLA KLUB JUVENILLE KABUPATEN SELUMA,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN ANTARA KEKUATAN OTOT TUNGKAI DAN KESEIMBANGAN TERHADAP JAUHNYA TENDANGAN PADA PERMAINAN SEPAK BOLA KLUB JUVENILLE KABUPATEN SELUMA',"F Munandar, S Sihombing, Y Yarmani
Universitas Bengkulu, 2014",2014,1,"Universitas Bengkulu, 2014"
5006,Analisis Pola Asuh Orang Tua Terhadap Perkembangan Karakter Anak,https://scholar.google.com/scholar?q=+intitle:'Analisis Pola Asuh Orang Tua Terhadap Perkembangan Karakter Anak',"AN Farhana, DN Dahliani, SH Hasanah, R Rahmawati, LU Hamzah
ANTHOR: Education and Learning Journal 3 (3), 311-315, 2024",2024,0,"ANTHOR: Education and Learning Journal 3 (3), 311-315, 2024"
5006,Pengaruh Pemberian Pakan dengan Sumber Protein Berbeda terhadap Efisiensi Penggunaan Energi pada Ayam Lokal Persilangan: The Influence of Different Dietary Protein Source on …,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Pemberian Pakan dengan Sumber Protein Berbeda terhadap Efisiensi Penggunaan Energi pada Ayam Lokal Persilangan: The Influence of Different Dietary Protein Source on …',"BN Juzmi, U Atmomarsono, N Suthama
Jurnal Ilmiah Ilmu-Ilmu Peternakan 21 (1), 1-8",2018,1,"Jurnal Ilmiah Ilmu-Ilmu Peternakan 21 (1), 1-8"
5006,EVIEW: APPLICATION OF PROBIONTS TO ENHANCE GROWTH RATE AND THE IMMUNE SYSTEMS IN TERRESTRIAL AND AQUATIC SPECIES,https://scholar.google.com/scholar?q=+intitle:'EVIEW: APPLICATION OF PROBIONTS TO ENHANCE GROWTH RATE AND THE IMMUNE SYSTEMS IN TERRESTRIAL AND AQUATIC SPECIES',"M Ali, M Amin, M Ashari
Universitas Mataram, 0",0000,0,"Universitas Mataram, 0"
5006,Turnitin-Aplikasi Membran Ultrafiltrasi Termodifikasi Untuk Penyediaan Air Bersih Layak Konsumsi di Desa Jambu Burung Kalimantan Selatan,https://scholar.google.com/scholar?q=+intitle:'Turnitin-Aplikasi Membran Ultrafiltrasi Termodifikasi Untuk Penyediaan Air Bersih Layak Konsumsi di Desa Jambu Burung Kalimantan Selatan',"A Mirwan, DR Wicakso, A Ghofur, IF Nata
Buletin Profesi Insinyur, PPI FT ULM, 0",0000,0,"Buletin Profesi Insinyur, PPI FT ULM, 0"
5006,Science Integrated Concept: Penguasaan dan Kompetensi Guru IPA,https://scholar.google.com/scholar?q=+intitle:'Science Integrated Concept: Penguasaan dan Kompetensi Guru IPA',"A Nurramadhani, I Permana, S Aqilah, NN Amalia
Pedagogia: Jurnal Ilmiah Pendidikan 14 (1), 36-39, 2022",2022,0,"Pedagogia: Jurnal Ilmiah Pendidikan 14 (1), 36-39, 2022"
5006,HASIL BELAJAR SISWA MELALUI PENERAPAN PEMBELAJARAN INKUIRI PADA MATERI LARUTAN PENYANGGA YANG DITATA DENGAN MODEL KURIKULER SETS KELAS XI SMA NEGERI 1 RENGEL TUBAN (STUDENT …,https://scholar.google.com/scholar?q=+intitle:'HASIL BELAJAR SISWA MELALUI PENERAPAN PEMBELAJARAN INKUIRI PADA MATERI LARUTAN PENYANGGA YANG DITATA DENGAN MODEL KURIKULER SETS KELAS XI SMA NEGERI 1 RENGEL TUBAN (STUDENT …',"H Rahayu, U Azizah
Unesa Journal of Chemical Education 2 (3), 2013",2013,2,"Unesa Journal of Chemical Education 2 (3), 2013"
5007,Industry 4.0 and Technology Adoption in The Garment Industry,https://scholar.google.com/scholar?q=+intitle:'Industry 4.0 and Technology Adoption in The Garment Industry',"L Ariyani, W Hermawati, T Fizzanty, AA Pitaloka, A Budiansyah",0000,2,
5007,ANALISIS PERAMALAN PRODUKSI DAN PENGENDALIAN PERSEDIAAN BAHAN BAKU PEMBANTU DI INDUSTRI GULA PT. XYZ KABUPATEN LAMPUNG UTARA,https://scholar.google.com/scholar?q=+intitle:'ANALISIS PERAMALAN PRODUKSI DAN PENGENDALIAN PERSEDIAAN BAHAN BAKU PEMBANTU DI INDUSTRI GULA PT. XYZ KABUPATEN LAMPUNG UTARA',"DA PRATAMA
UNIVERSITAS LAMPUNG, 2020",2020,0,"UNIVERSITAS LAMPUNG, 2020"
5007,The Implementation of Environmental Labelling (Ecolabeling) in Indonesia: WTO Perspective,https://scholar.google.com/scholar?q=+intitle:'The Implementation of Environmental Labelling (Ecolabeling) in Indonesia: WTO Perspective',"M Maskun
Jurisdictionary 2, 2006",2006,0,"Jurisdictionary 2, 2006"
5007,"Konsep Hukum Pengelolaan Dan Pemanfaatan Tanah Berdasarkan Hukum Adat Sebagai Bahan Hukum Tanah Nasional (Studi Sejarah Hukum Tanah di Daerah Semende, Kabupaten Muara Enim …","https://scholar.google.com/scholar?q=+intitle:'Konsep Hukum Pengelolaan Dan Pemanfaatan Tanah Berdasarkan Hukum Adat Sebagai Bahan Hukum Tanah Nasional (Studi Sejarah Hukum Tanah di Daerah Semende, Kabupaten Muara Enim …'","M Syaifuddin, D Rahmawati, BM Putra
Simbur Cahaya 31 (2), 308-326, 2025",2025,0,"Simbur Cahaya 31 (2), 308-326, 2025"
5007,Quo Vadis Sukuk Negara,https://scholar.google.com/scholar?q=+intitle:'Quo Vadis Sukuk Negara',"D Handayani
Esai Keuangan Negara, Pemikiran Multi Perspektif, 1-16, 2017",2017,0,"Esai Keuangan Negara, Pemikiran Multi Perspektif, 1-16, 2017"
5007,MERAWAT KEARIFAN LOKAL: STUDI KASUS MASYARAKAT SAMIN BOJONEGORO,https://scholar.google.com/scholar?q=+intitle:'MERAWAT KEARIFAN LOKAL: STUDI KASUS MASYARAKAT SAMIN BOJONEGORO',"H Hazim, R Ardilah, JD Asriningputri, GS Ibrahim
Universitas Pendidikan Ganesha, 2023",2023,0,"Universitas Pendidikan Ganesha, 2023"
5007,"Analysis of the Kinetics Fermentability, Degradability, and Nutritive Value of Soybean Groats and Lemuru Fish Oil Protected by in-Vitro","https://scholar.google.com/scholar?q=+intitle:'Analysis of the Kinetics Fermentability, Degradability, and Nutritive Value of Soybean Groats and Lemuru Fish Oil Protected by in-Vitro'","J Riyanto
Proceeding of the 2nd International Seminar on Animal Industry| Jakarta 5, 6, 2012",2012,0,"Proceeding of the 2nd International Seminar on Animal Industry| Jakarta 5, 6, 2012"
5007,Increased CD11b and hypoxia-inducible factors-1alpha expressions in the lung tissue and surfactant protein-D levels in serum are related with acute lung injury in severe …,https://scholar.google.com/scholar?q=+intitle:'Increased CD11b and hypoxia-inducible factors-1alpha expressions in the lung tissue and surfactant protein-D levels in serum are related with acute lung injury in severe …',"WA Cahayani, E Norahmawati, N Budiarti, LE Fitri
Iranian journal of parasitology 11 (3), 303, 2016",2016,14,"Iranian journal of parasitology 11 (3), 303, 2016"
5007,ANALISIS LITERASI MATEMATIKA MELALUI KEGIATAN PEMBIASAAN MATEMATIKA PADA SISWA KELAS 3 SD MUHAMMADIYAH 9 MALANG,https://scholar.google.com/scholar?q=+intitle:'ANALISIS LITERASI MATEMATIKA MELALUI KEGIATAN PEMBIASAAN MATEMATIKA PADA SISWA KELAS 3 SD MUHAMMADIYAH 9 MALANG',"Q Ainiyah
University of Muhammadiyah Malang",2019,0,University of Muhammadiyah Malang
5007,Diabetes melitus dan permasalahannya pada infeksi tuberkulosis,https://scholar.google.com/scholar?q=+intitle:'Diabetes melitus dan permasalahannya pada infeksi tuberkulosis',"DR Wulandari, YJ Sugiri
J Respir Indo 33 (2), 126-134, 2013",2013,46,"J Respir Indo 33 (2), 126-134, 2013"
5008,PENERAPAN METODE K-MEANS CLUSTERING DALAM MEMPREDIKSI TINGKAT PEMINAT EKSTRAKURIKULER PADA SISWA SMA MUHAMMADIYAH 4 BENGKULU,https://scholar.google.com/scholar?q=+intitle:'PENERAPAN METODE K-MEANS CLUSTERING DALAM MEMPREDIKSI TINGKAT PEMINAT EKSTRAKURIKULER PADA SISWA SMA MUHAMMADIYAH 4 BENGKULU',"EA Yanti, D Suranti, D Sartika
JOURNAL OF SCIENCE AND SOCIAL RESEARCH 7 (3), 1327-1332, 2024",2024,0,"JOURNAL OF SCIENCE AND SOCIAL RESEARCH 7 (3), 1327-1332, 2024"
5008,Evaluasi Pembangunan Infrastruktur Jaringan Irigasi di Kabupaten Bengkulu Tengah,https://scholar.google.com/scholar?q=+intitle:'Evaluasi Pembangunan Infrastruktur Jaringan Irigasi di Kabupaten Bengkulu Tengah',"R Al Hidayat
Ekombis Review: Jurnal Ilmiah Ekonomi Dan Bisnis 10 (1), 334–347-334–347, 2022",2022,12,"Ekombis Review: Jurnal Ilmiah Ekonomi Dan Bisnis 10 (1), 334–347-334–347, 2022"
5008,"Kalompoang sejarah budaya politik Bugis-Makassar: kasus konflik Kerajaan Gowa dengan kerajaan Bone: laporan hasil penelitian rutin Unhas, tahun anggaran 1999/2000","https://scholar.google.com/scholar?q=+intitle:'Kalompoang sejarah budaya politik Bugis-Makassar: kasus konflik Kerajaan Gowa dengan kerajaan Bone: laporan hasil penelitian rutin Unhas, tahun anggaran 1999/2000'","A Latif
Fakultas Sastra, Universitas Hasanuddin",1999,0,"Fakultas Sastra, Universitas Hasanuddin"
5008,SKRIPSI PENGARUH MODEL PEMBELAJARAN THINK PAIR SHARE TERHADAP HASIL BELAJAR KOGNITIF DAN MOTIVASI BELAJAR SISWA PADA MATERI JAMUR KELAS X MIPA MAN 1 MAGELANG,https://scholar.google.com/scholar?q=+intitle:'SKRIPSI PENGARUH MODEL PEMBELAJARAN THINK PAIR SHARE TERHADAP HASIL BELAJAR KOGNITIF DAN MOTIVASI BELAJAR SISWA PADA MATERI JAMUR KELAS X MIPA MAN 1 MAGELANG',"FT PUTRI
UNIVERSITAS TIDAR, 2022",2022,0,"UNIVERSITAS TIDAR, 2022"
5008,Disparities of the Supreme Court Judge's Decisions on the Non-Muslim Inheritance: Indonesian Case,https://scholar.google.com/scholar?q=+intitle:'Disparities of the Supreme Court Judge's Decisions on the Non-Muslim Inheritance: Indonesian Case',"A Halim
J. Legal Ethical & Regul. Isses 24, 1, 2021",2021,6,"J. Legal Ethical & Regul. Isses 24, 1, 2021"
5008,Implementasi Transformasi Wavelet Daubechies pada Kompresi Citra Digital,https://scholar.google.com/scholar?q=+intitle:'Implementasi Transformasi Wavelet Daubechies pada Kompresi Citra Digital',"G Gumilar
CAUCHY: Jurnal Matematika Murni dan Aplikasi 2 (4), 211-215, 2013",2013,12,"CAUCHY: Jurnal Matematika Murni dan Aplikasi 2 (4), 211-215, 2013"
5008,Individu Komunikatif Menurut Jurgen Habermas Dalam Perspektif Filsafat Manusia,https://scholar.google.com/scholar?q=+intitle:'Individu Komunikatif Menurut Jurgen Habermas Dalam Perspektif Filsafat Manusia',"S Kirom
JURNAL YAQZHAN: Analisis Filsafat, Agama dan Kemanusiaan 6 (2), 202-216, 2020",2020,1,"JURNAL YAQZHAN: Analisis Filsafat, Agama dan Kemanusiaan 6 (2), 202-216, 2020"
5008,Pola Asuh Orang Tua dan Implikasinya Terhadap Pembentukan Karakter Anak,https://scholar.google.com/scholar?q=+intitle:'Pola Asuh Orang Tua dan Implikasinya Terhadap Pembentukan Karakter Anak',"F Nuraeni, M Lubis
Jurnal Pendidikan Anak Usia Dini Undiksha 10 (1), 137-143, 2022",2022,91,"Jurnal Pendidikan Anak Usia Dini Undiksha 10 (1), 137-143, 2022"
5008,PENDAFTARAN HAK ATAS TANAH HIBAH BAGI BANGUNAN PERIBADATAN KRISTEN PROTESTAN (STUDI TERHADAP TANAH GEREJA HURIA KRISTEN BAT...,https://scholar.google.com/scholar?q=+intitle:'PENDAFTARAN HAK ATAS TANAH HIBAH BAGI BANGUNAN PERIBADATAN KRISTEN PROTESTAN (STUDI TERHADAP TANAH GEREJA HURIA KRISTEN BAT...',"HR Susmiyati
JURNAL BERAJA NITI 3 (5)",2014,0,JURNAL BERAJA NITI 3 (5)
5008,PERANCANGAN SISTEM INFORMASI PENGAJUAN BEASISWA CSR (CORPORATE SOCIAL RESPONSIBILITY) ONLINE DI UNIVERSITAS BINA INSAN BERBASIS WEB MOBIILE,https://scholar.google.com/scholar?q=+intitle:'PERANCANGAN SISTEM INFORMASI PENGAJUAN BEASISWA CSR (CORPORATE SOCIAL RESPONSIBILITY) ONLINE DI UNIVERSITAS BINA INSAN BERBASIS WEB MOBIILE',"HOL Wijaya, AAT Susilo, L Hakim
Jurnal Digital Teknologi Informasi 4 (2), 67-72, 2021",2021,0,"Jurnal Digital Teknologi Informasi 4 (2), 67-72, 2021"
5009,"Perbedaan Pengetahuan Karies Gigi Dengan Menggunakan Media Video Animasi Pada Siswa Kelas IV, V, VI (Study di SDN Ledok Kulon 3 Bojonegoro)","https://scholar.google.com/scholar?q=+intitle:'Perbedaan Pengetahuan Karies Gigi Dengan Menggunakan Media Video Animasi Pada Siswa Kelas IV, V, VI (Study di SDN Ledok Kulon 3 Bojonegoro)'","N Kusumadani, IC Mahirawatie, SF Ulfah
Indonesian Journal Of Health and Medical 2 (3), 304-311, 2022",2022,12,"Indonesian Journal Of Health and Medical 2 (3), 304-311, 2022"
5009,PENGARUH MODEL PEMBELAJARAN CHILDREN LEARNING IN SCIENCE (CLIS) BERBANTUAN MEDIA POWERPOINT TERHADAP HASIL BELAJAR IPA SISWA KELAS IV SEKOLAH DASAR,https://scholar.google.com/scholar?q=+intitle:'PENGARUH MODEL PEMBELAJARAN CHILDREN LEARNING IN SCIENCE (CLIS) BERBANTUAN MEDIA POWERPOINT TERHADAP HASIL BELAJAR IPA SISWA KELAS IV SEKOLAH DASAR',"NME Mulyaningsih, IK Suparya, IMA Winangun
Widyajaya: Jurnal Mahasiswa Prodi PGSD 2 (2), 196-204, 2022",2022,0,"Widyajaya: Jurnal Mahasiswa Prodi PGSD 2 (2), 196-204, 2022"
5009,Annihilator graph of semiring of matrices over Boolean semiring,https://scholar.google.com/scholar?q=+intitle:'Annihilator graph of semiring of matrices over Boolean semiring',"SBW R Yudatama, V Y Kurniawan
Journal of Physics: Conference Series 1494 (1), 012009, 2020",2020,2,"Journal of Physics: Conference Series 1494 (1), 012009, 2020"
5009,Single port-assisted fully laparoscopic abdominoperineal resection (APR) with immediate V-RAM flap reconstruction of the perineal defect,https://scholar.google.com/scholar?q=+intitle:'Single port-assisted fully laparoscopic abdominoperineal resection (APR) with immediate V-RAM flap reconstruction of the perineal defect',"S Ali, M Moftah, N Ajmal, RA Cahill
Updates in surgery 64, 217-221, 2012",2012,6,"Updates in surgery 64, 217-221, 2012"
5009,HUBUNGAN ANTARA PAPARAN PESTISIDA DENGAN STATUS METILASI PROMOTER GEN p16 PADA PETANI DI KECAMATAN NGABLAK KABUPATEN MAGELANG,https://scholar.google.com/scholar?q=+intitle:'HUBUNGAN ANTARA PAPARAN PESTISIDA DENGAN STATUS METILASI PROMOTER GEN p16 PADA PETANI DI KECAMATAN NGABLAK KABUPATEN MAGELANG',"MG RATNA
Universitas Gadjah Mada, 2018",2018,0,"Universitas Gadjah Mada, 2018"
5009,Pengaruh Model Problem Based Learning Terhadap Hasil Belajar Siswa Kelas V Tema 8 (Lingkungan Sahabat Kita),https://scholar.google.com/scholar?q=+intitle:'Pengaruh Model Problem Based Learning Terhadap Hasil Belajar Siswa Kelas V Tema 8 (Lingkungan Sahabat Kita)',"M Al Hadi, CD Sumadi
Bersatu: Jurnal Pendidikan Bhinneka Tunggal Ika 1 (5), 355-368, 2023",2023,0,"Bersatu: Jurnal Pendidikan Bhinneka Tunggal Ika 1 (5), 355-368, 2023"
5009,PERLAKUAN TEMPERATUR PACK CARBURIZING DAN WAKTU PENAHANAN PADA BAJA POROS ST 42 TERHADAP UMUR LELAH,https://scholar.google.com/scholar?q=+intitle:'PERLAKUAN TEMPERATUR PACK CARBURIZING DAN WAKTU PENAHANAN PADA BAJA POROS ST 42 TERHADAP UMUR LELAH',"K Suarsana, IM Astika, DNKP Negara
Prosiding Konferensi Nasional Engineering Perhotelan IX 98, 102, 2018",2018,1,"Prosiding Konferensi Nasional Engineering Perhotelan IX 98, 102, 2018"
5009,FAKTOR-FAKTOR YANG MEMPENGARUHI CORPORATE SOCIAL RESPONSIBILITY DISCLOSURE PADA PERUSAHAAN MANUFAKTUR YANG TERDAFTAR DI BURSA EFEK INDONESIA TAHUN 2011-2015,https://scholar.google.com/scholar?q=+intitle:'FAKTOR-FAKTOR YANG MEMPENGARUHI CORPORATE SOCIAL RESPONSIBILITY DISCLOSURE PADA PERUSAHAAN MANUFAKTUR YANG TERDAFTAR DI BURSA EFEK INDONESIA TAHUN 2011-2015',"J Hariyanto, E Ethika, H Herawati
Abstract of Undergraduate Research, Faculty of Economics, Bung Hatta …, 0",0000,0,"Abstract of Undergraduate Research, Faculty of Economics, Bung Hatta …, 0"
5009,Menyibak Dominasi Pembelajaran Bahasa dalam Kurikulum,https://scholar.google.com/scholar?q=+intitle:'Menyibak Dominasi Pembelajaran Bahasa dalam Kurikulum',"T Suwondo
Kedaulatan Rakyat, 1996",1996,0,"Kedaulatan Rakyat, 1996"
5009,Jasa penyebaran informasi majalah oleh Pusat Layanan Disiplin Ilmu (PUSYANDI),https://scholar.google.com/scholar?q=+intitle:'Jasa penyebaran informasi majalah oleh Pusat Layanan Disiplin Ilmu (PUSYANDI)',I Irawati,1996,0,
5010,Amalan Guru Dalam Pengajaran Subjek Maharat Al-quran Kurikulum Bersepadu Tahfiz,https://scholar.google.com/scholar?q=+intitle:'Amalan Guru Dalam Pengajaran Subjek Maharat Al-quran Kurikulum Bersepadu Tahfiz',"MAC Noh, SAM Yusuf, KA Razak
Journal of Quran Sunnah Education and Special Needs, 2021",2021,0,"Journal of Quran Sunnah Education and Special Needs, 2021"
5010,Analisis Perubahan Penggunaan Lahan Dan Tren Pertambahan Penduduk Terhadap Debit Maksimum di DAS Plumbon Kota Semarang,https://scholar.google.com/scholar?q=+intitle:'Analisis Perubahan Penggunaan Lahan Dan Tren Pertambahan Penduduk Terhadap Debit Maksimum di DAS Plumbon Kota Semarang',"FH Prayitno, Dewi Liesnoor Setyowati, Hariyanto
Jurnal Geografi, Edukasi dan Lingkungan (JGEL) 8 (2), 91-110, 2024",2024,0,"Jurnal Geografi, Edukasi dan Lingkungan (JGEL) 8 (2), 91-110, 2024"
5010,"Perbandingan antara Molekul Naphtalena dan Benzena ditinjau dari Energi Resonansi, Struktur, dan Degenerasi Energi","https://scholar.google.com/scholar?q=+intitle:'Perbandingan antara Molekul Naphtalena dan Benzena ditinjau dari Energi Resonansi, Struktur, dan Degenerasi Energi'","P Parno
MIPA dan Pembelajarannya 30 (1), 2009",2009,0,"MIPA dan Pembelajarannya 30 (1), 2009"
5010,Pemanfaatan Buku Kesehatan Remaja dan Buku Info Kesehatan Remaja di Kabupaten Bondowoso,https://scholar.google.com/scholar?q=+intitle:'Pemanfaatan Buku Kesehatan Remaja dan Buku Info Kesehatan Remaja di Kabupaten Bondowoso',"TY Kuswandari, A Suryoputro, P Nugraha
Jurnal Promosi Kesehatan Indonesia 9 (1), 104-115",0000,3,"Jurnal Promosi Kesehatan Indonesia 9 (1), 104-115"
5010,56 W cw Nd: YAG solar laser by a heliostat-parabolic mirror system,https://scholar.google.com/scholar?q=+intitle:'56 W cw Nd: YAG solar laser by a heliostat-parabolic mirror system',"J Almeida, D Liang, CR Vistas, E Guillot
The European Conference on Lasers and Electro-Optics, CA_11_6, 2015",2015,0,"The European Conference on Lasers and Electro-Optics, CA_11_6, 2015"
5010,Attrition of rice stink bug (Hemiptera: Pentatomidae) cohorts and impacts of barnyardgrass management and application of selected insecticides on survival of the egg parasite Telenomus podisi Ashmead (Hymenoptera: Scelionidae).,https://scholar.google.com/scholar?q=+intitle:'Attrition of rice stink bug (Hemiptera: Pentatomidae) cohorts and impacts of barnyardgrass management and application of selected insecticides on survival of the egg parasite Telenomus podisi Ashmead (Hymenoptera: Scelionidae).',H Sudarsono,1994,0,
5010,Analisis Kebutuhan Tenaga Logistik di Salah Satu PBF Kota Bandung Tahun 2022,https://scholar.google.com/scholar?q=+intitle:'Analisis Kebutuhan Tenaga Logistik di Salah Satu PBF Kota Bandung Tahun 2022',"S Amanda, YE Hadisaputri
Majalah Farmasetika 8 (2), 2023",2023,0,"Majalah Farmasetika 8 (2), 2023"
5010,Teachers' Self-Efficacy as a Mediator of Their Perception and Behavior Regarding Creative Teaching for Elementary School Students.,https://scholar.google.com/scholar?q=+intitle:'Teachers' Self-Efficacy as a Mediator of Their Perception and Behavior Regarding Creative Teaching for Elementary School Students.',"WR Sutjonong, RMA Salim, S Safitri
Elementary School Forum (Mimbar Sekolah Dasar) 9 (1), 161-173, 2022",2022,3,"Elementary School Forum (Mimbar Sekolah Dasar) 9 (1), 161-173, 2022"
5010,Penggunaan Media Video Reality Show dalam Pembelajaran Menulis Puisi,https://scholar.google.com/scholar?q=+intitle:'Penggunaan Media Video Reality Show dalam Pembelajaran Menulis Puisi',"D Irawan
Riksa Bahasa 5 (Bahasa, Sastra dan Pembelajarannya), 29-36, 2019",2019,0,"Riksa Bahasa 5 (Bahasa, Sastra dan Pembelajarannya), 29-36, 2019"
5010,Synthesis of manganese ferrite/graphene oxide nanocomposites for biomedical applications,https://scholar.google.com/scholar?q=+intitle:'Synthesis of manganese ferrite/graphene oxide nanocomposites for biomedical applications',"E Peng, ESG Choo, P Chandrasekharan, CT Yang, J Ding, KH Chuang, ...
Small 8 (23), 3620-3630",2012,123,"Small 8 (23), 3620-3630"
